TYPE                VALUE
--------------------------------------------------
KEYWORD             'int'
IDENTIFIER          'fun'
PUNCTUATION         '('
KEYWORD             'int'
IDENTIFIER          'a'
PUNCTUATION         ','
KEYWORD             'float'
IDENTIFIER          'b'
PUNCTUATION         ')'
PUNCTUATION         '{'
KEYWORD             'print'
PUNCTUATION         '('
IDENTIFIER          'a'
PUNCTUATION         ')'
PUNCTUATION         ';'
KEYWORD             'return'
NUMBER              '0'
PUNCTUATION         ';'
PUNCTUATION         '}'
KEYWORD             'int'
IDENTIFIER          'main'
PUNCTUATION         '('
PUNCTUATION         ')'
PUNCTUATION         '{'
KEYWORD             'int'
IDENTIFIER          'x'
PUNCTUATION         ';'
KEYWORD             'int'
IDENTIFIER          'y'
OPERATOR            '='
NUMBER              '3'
PUNCTUATION         ';'
IDENTIFIER          'x'
OPERATOR            '='
PUNCTUATION         '('
NUMBER              '5'
OPERATOR            '+'
IDENTIFIER          'x'
PUNCTUATION         ')'
OPERATOR            '*'
IDENTIFIER          'y'
OPERATOR            '-'
PUNCTUATION         '('
NUMBER              '6'
OPERATOR            '+'
IDENTIFIER          'y'
PUNCTUATION         ')'
PUNCTUATION         ';'
KEYWORD             'for'
PUNCTUATION         '('
KEYWORD             'int'
IDENTIFIER          'i'
OPERATOR            '='
NUMBER              '0'
PUNCTUATION         ';'
IDENTIFIER          'i'
OPERATOR            '<'
NUMBER              '0'
PUNCTUATION         ';'
IDENTIFIER          'i'
PUNCTUATION         '++'
PUNCTUATION         ')'
PUNCTUATION         '{'
IDENTIFIER          'x'
OPERATOR            '='
NUMBER              '5'
PUNCTUATION         ';'
KEYWORD             'break'
PUNCTUATION         ';'
PUNCTUATION         '}'
PUNCTUATION         '}'
END_OF_FILE         ''
